Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Windows Push Notifications Platform] | PID: 5160 | ProcName: svchost.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Task Host Window] | PID: 5268 | ProcName: taskhostw.exe
Window Title: [NvFBCPluginWindow] | PID: 2148 | ProcName: 
Window Title: [NvContainerWindowClass00000864] | PID: 2148 | ProcName: 
Window Title: [DWM Notification Window] | PID: 1308 | ProcName: 
Window Title: [] | PID: 6540 | ProcName: ctfmon.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Program Manager] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [Default IME] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [Default IME] | PID: 216 | ProcName: ChatGPT.exe
Window Title: [Default IME] | PID: 4512 | ProcName: ChatGPT.exe
Window Title: [Default IME] | PID: 11568 | ProcName: vctip.exe
Window Title: [Default IME] | PID: 11568 | ProcName: vctip.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [MSCTFIME UI] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5052 | ProcName: svchost.exe
Window Title: [Default IME] | PID: 9524 | ProcName: TGitCache.exe
Window Title: [Default IME] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [Default IME] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [Default IME] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [Default IME] | PID: 8072 | ProcName: ApplicationFrameHost.exe
Window Title: [MSCTFIME UI] | PID: 8072 | ProcName: ApplicationFrameHost.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [MSCTFIME UI] | PID: 4748 | ProcName: IDMan.exe
Window Title: [Default IME] | PID: 4748 | ProcName: IDMan.exe
Window Title: [Default IME] | PID: 7504 | ProcName: TextInputHost.exe
Window Title: [Default IME] | PID: 5316 | ProcName: RuntimeBroker.exe
Window Title: [Default IME] | PID: 6552 | ProcName: SecurityHealthSystray.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5636 | ProcName: explorer.exe
Window Title: [Default IME] | PID: 5160 | ProcName: svchost.exe
